,scenario,departure_station,arrival_station,departure_hour,count_journey_time,mean_journey_time,min_journey_time,max_journey_time,count_wait_time,mean_wait_time,min_wait_time,max_wait_time
840,Existing,Belmont Caltrain,Bayshore Caltrain,14,1,32.0,32,32,60,29.5,0.0,59.0
841,Existing,Belmont Caltrain,Bayshore Caltrain,15,1,34.0,34,34,60,32.3,0.0,62.0
842,Existing,Belmont Caltrain,Bayshore Caltrain,16,2,34.0,34,34,60,24.316666666666666,0.0,57.0
843,Existing,Belmont Caltrain,Bayshore Caltrain,17,1,34.0,34,34,60,29.5,0.0,59.0
844,Existing,Belmont Caltrain,Bayshore Caltrain,18,1,34.0,34,34,60,32.3,0.0,71.0
845,Existing,Belmont Caltrain,Bayshore Caltrain,19,1,33.0,33,33,60,28.766666666666666,0.0,57.0
846,Existing,Belmont Caltrain,Bayshore Caltrain,20,1,32.0,32,32,60,29.5,0.0,59.0
847,Existing,Belmont Caltrain,Bayshore Caltrain,21,1,32.0,32,32,60,29.5,0.0,59.0
848,Existing,Belmont Caltrain,Bayshore Caltrain,22,1,32.0,32,32,60,23.9,0.0,45.0
849,Existing,Belmont Caltrain,Bayshore Caltrain,23,1,31.0,31,31,22,10.5,0.0,21.0
850,Existing,Belmont Caltrain,Blossom Hill Caltrain,15,1,77.0,77,77,60,49.65,0.0,152.0
851,Existing,Belmont Caltrain,Blossom Hill Caltrain,18,1,65.0,65,65,20,9.5,0.0,19.0
852,Existing,Belmont Caltrain,Burlingame Caltrain,5,2,14.0,14,14,60,20.483333333333334,0.0,74.0
853,Existing,Belmont Caltrain,Burlingame Caltrain,7,1,14.0,14,14,60,32.1,0.0,62.0
854,Existing,Belmont Caltrain,Burlingame Caltrain,8,1,14.0,14,14,60,25.416666666666668,0.0,54.0
855,Existing,Belmont Caltrain,Burlingame Caltrain,9,2,12.5,11,14,60,14.65,0.0,32.0
856,Existing,Belmont Caltrain,Burlingame Caltrain,10,2,12.5,12,13,60,14.283333333333333,0.0,34.0
857,Existing,Belmont Caltrain,Burlingame Caltrain,11,1,12.0,12,12,60,29.5,0.0,59.0
858,Existing,Belmont Caltrain,Burlingame Caltrain,12,1,12.0,12,12,60,29.5,0.0,59.0
859,Existing,Belmont Caltrain,Burlingame Caltrain,13,1,12.0,12,12,60,29.5,0.0,59.0
860,Existing,Belmont Caltrain,Burlingame Caltrain,14,1,12.0,12,12,60,29.5,0.0,59.0
861,Existing,Belmont Caltrain,Burlingame Caltrain,15,2,12.5,11,14,60,23.466666666666665,0.0,52.0
862,Existing,Belmont Caltrain,Burlingame Caltrain,16,2,14.0,14,14,60,24.316666666666666,0.0,57.0
863,Existing,Belmont Caltrain,Burlingame Caltrain,17,1,14.0,14,14,60,29.5,0.0,59.0
864,Existing,Belmont Caltrain,Burlingame Caltrain,18,1,14.0,14,14,60,32.3,0.0,71.0
865,Existing,Belmont Caltrain,Burlingame Caltrain,19,1,13.0,13,13,60,28.766666666666666,0.0,57.0
866,Existing,Belmont Caltrain,Burlingame Caltrain,20,1,13.0,13,13,60,29.5,0.0,59.0
